ID,대상,도메인,be,fe,우선순위,제목,요구사항,근거,단계
SES-001,사용자,세션,1,1,1순위,세션 생성,"사용자는 새로운 대화 세션을 생성할 수 있어야 한다.","Session 도메인 모델",MVP
SES-002,사용자,세션,1,1,1순위,세션 목록 조회,"사용자는 자신의 세션 목록을 조회할 수 있어야 한다.","세션 생성/조회 요구",MVP
SES-003,사용자,세션,1,1,1순위,세션 상세 진입,"사용자는 특정 세션을 선택해 해당 세션의 run 이력과 결과를 볼 수 있어야 한다.","웹 기반 대화형 실행기 방향",MVP
SES-004,사용자,세션,,1,2순위,최근 세션 우선 표시,"사용자는 최근 활동한 세션을 우선적으로 볼 수 있어야 한다.","사용자 편의성",Phase2
SES-005,운영자,세션,1,,2순위,세션 상태 점검,"운영자는 세션별 최근 활동 시각과 누적 run 수를 확인할 수 있어야 한다.","운영 점검 필요",Phase2
RUN-001,사용자,실행,1,1,1순위,run 생성,"사용자 요청 1회마다 새로운 run이 생성되어야 한다.","Run 도메인 모델",MVP
RUN-002,사용자,실행,1,1,1순위,run 상태 조회,"사용자는 runId 기준 현재 상태를 조회할 수 있어야 한다.","GET /runs/{runId} 최소 구조",MVP
RUN-003,사용자,실행,1,1,1순위,run 최종 결과 조회,"사용자는 완료된 run의 최종 응답을 다시 조회할 수 있어야 한다.","최종 응답과 실행 로그 저장",MVP
RUN-004,사용자,실행,1,,1순위,run 상태 저장,"시스템은 run 상태를 QUEUED, RUNNING, WAITING_APPROVAL, SUCCEEDED, FAILED, CANCELLED로 저장해야 한다.","Run 상태 모델",MVP
RUN-005,사용자,실행,1,,1순위,run 상태 전이 처리,"시스템은 실행 흐름에 따라 run 상태를 올바르게 전이해야 한다.","상태 전이 규칙 필요",MVP
RUN-006,사용자,실행,1,1,2순위,run 재실행,"사용자는 이전 run을 다시 실행할 수 있어야 한다.","Phase2 기능 범위",Phase2
RUN-007,운영자,실행,1,,2순위,실패 run 재처리 지원,"운영자는 실패한 run을 재검토하고 재시도할 수 있어야 한다.","운영 재처리 요구",Phase2
RUN-008,운영자,실행,1,,2순위,run 취소,"운영자는 장시간 실행 중인 run을 취소할 수 있어야 한다.","명령 계층 초안",Phase2
RUN-009,사용자,실행,,1,2순위,run 진행률 요약 표시,"사용자는 run의 현재 상태와 마지막 활동 시각을 화면에서 볼 수 있어야 한다.","Runtime State Snapshot",MVP
RUN-010,운영자,실행,1,,3순위,run 우선순위 제어,"운영자는 특정 run의 실행 우선순위를 조정할 수 있어야 한다.","운영 확장성",Phase3
REQ-001,사용자,입력,,1,1순위,자연어 요청 입력,"사용자는 웹 화면에서 자연어 요청을 입력할 수 있어야 한다.","제품 방향",MVP
REQ-002,사용자,입력,,1,1순위,요청 전송 피드백,"사용자는 요청 전송 직후 run 생성 여부를 즉시 확인할 수 있어야 한다.","run 생성 즉시 반영",MVP
REQ-003,사용자,입력,,1,2순위,긴 요청 입력 지원,"사용자는 긴 텍스트 입력도 문제없이 전송할 수 있어야 한다.","자연어 정리 요청 시나리오",Phase2
REQ-004,사용자,입력,1,1,2순위,입력 유효성 검증,"시스템은 비어 있는 요청 또는 잘못된 입력을 검증해야 한다.","기본 안정성",MVP
ORC-001,사용자,오케스트레이션,1,,1순위,단일 orchestrator 기반 실행,"시스템은 단일 AgentOrchestrator를 중심으로 요청을 실행해야 한다.","Hermes의 run_agent.py 해석",MVP
ORC-002,사용자,오케스트레이션,1,,1순위,prompt 조립,"시스템은 system prompt와 현재 문맥을 조립해 모델 호출 입력을 구성해야 한다.","Hermes prompt 조립 구조",MVP
ORC-003,사용자,오케스트레이션,1,,1순위,모델 호출 loop,"시스템은 한 요청 안에서 모델 호출과 tool 호출을 반복하는 loop를 지원해야 한다.","Hermes tool-calling loop",MVP
ORC-004,사용자,오케스트레이션,1,,1순위,종료 조건 판단,"시스템은 충분한 결과가 얻어지면 run을 종료해야 한다.","AgentOrchestrator 역할",MVP
ORC-005,사용자,오케스트레이션,1,,2순위,실패 지점 재시도,"시스템은 특정 실패 지점에서 제한된 재시도를 수행할 수 있어야 한다.","Phase2 기능 범위",Phase2
ORC-006,운영자,설정,1,,2순위,실행 정책 변경 가능,"운영자는 loop 제한, timeout 등 실행 정책을 조정할 수 있어야 한다.","운영 제어 필요",Phase2
TOOL-001,사용자,도구,1,,1순위,tool registry 구성,"시스템은 사용 가능한 tool 목록을 registry로 관리해야 한다.","Hermes registry 구조",MVP
TOOL-002,사용자,도구,1,,1순위,허용 tool 목록 구성,"시스템은 현재 실행 문맥에 맞는 허용 tool 목록을 구성해야 한다.","허용 tool 목록 생성 구조",MVP
TOOL-003,사용자,도구,1,,1순위,tool handler 실행,"시스템은 선택된 tool handler를 실행할 수 있어야 한다.","tools/*.py 대응 구조",MVP
TOOL-004,사용자,도구,1,,1순위,tool 결과 반영,"시스템은 tool 결과를 후속 모델 호출 문맥에 반영해야 한다.","tool result 반영 구조",MVP
TOOL-005,사용자,도구,1,,1순위,안전한 기본 도구 제공,"시스템은 read_file, search_files, list_files 등 안전한 기본 도구를 제공해야 한다.","MVP tool 후보",MVP
TOOL-006,사용자,도구,,1,2순위,현재 도구 표시,"사용자는 현재 어떤 tool이 실행 중인지 볼 수 있어야 한다.","실시간 시각화 요구",MVP
TOOL-007,사용자,도구,,1,2순위,최근 도구 결과 요약 표시,"사용자는 최근 tool 결과 요약을 확인할 수 있어야 한다.","최근 tool 결과 요약 필요",MVP
TOOL-008,운영자,도구,1,,2순위,도구 실패 로그 확인,"운영자는 도구 실패 원인과 실패 시각을 조회할 수 있어야 한다.","운영 점검 필요",Phase2
TOOL-009,운영자,보안,1,,3순위,위험 도구 제한 정책,"운영자는 위험 tool의 활성화 여부를 정책으로 제어할 수 있어야 한다.","위험 도구 후순위 적용",Phase3
STEP-001,사용자,모니터링,1,1,1순위,현재 step 표시,"사용자는 현재 실행 중인 step을 화면에서 확인할 수 있어야 한다.","step timeline 요구",MVP
STEP-002,사용자,모니터링,1,1,1순위,step 시작/종료 기록,"시스템은 step.started와 step.completed를 기록해야 한다.","표준 runtime event",MVP
STEP-003,사용자,모니터링,1,1,1순위,step 실패 기록,"시스템은 step 실패를 식별하고 기록해야 한다.","오류 처리 기준",MVP
STEP-004,사용자,모니터링,,1,1순위,step timeline 표시,"사용자는 step timeline을 시간 순서로 볼 수 있어야 한다.","실시간 작업 상태 확인",MVP
STEP-005,운영자,모니터링,1,,2순위,step 통계 집계,"운영자는 step별 평균 실행 시간과 실패 빈도를 볼 수 있어야 한다.","운영 지표 필요",Phase2
EVT-001,사용자,이벤트,1,,1순위,event stream 제공,"시스템은 run 단위 실시간 event stream을 제공해야 한다.","SSE /runs/{runId}/events",MVP
EVT-002,사용자,이벤트,1,,1순위,표준 event 이름 유지,"시스템은 run.created, step.started, tool.called 등 표준 event 이름을 유지해야 한다.","추적 계약 초안",MVP
EVT-003,사용자,이벤트,1,,1순위,event 저장,"시스템은 발행된 event를 저장해야 한다.","실행 로그 저장",MVP
EVT-004,사용자,이벤트,,1,1순위,event 수신 UI 반영,"프론트엔드는 event를 수신해 화면 상태를 즉시 갱신해야 한다.","실시간 시각화",MVP
EVT-005,운영자,이벤트,1,,2순위,event 재조회,"운영자는 과거 event 목록을 재조회할 수 있어야 한다.","GET /runs/{runId}/events",MVP
EVT-006,운영자,이벤트,1,,2순위,event 누락 보정,"시스템은 event 누락 또는 연결 단절 시 상태 조회 API로 보정할 수 있어야 한다.","event stream + 상태 조회 API",MVP
PRJ-001,사용자,상태,1,,1순위,state snapshot 생성,"시스템은 event를 현재 상태 snapshot으로 환원해야 한다.","Runtime State Projector",MVP
PRJ-002,사용자,상태,1,,1순위,state snapshot 필드 유지,"시스템은 runId, sessionId, status, currentStep, currentTool, latestPreview, waitingApproval, startedAt, lastActivityAt를 유지해야 한다.","Runtime State Snapshot 모델",MVP
PRJ-003,사용자,상태,,1,1순위,state snapshot 기반 렌더링,"프론트엔드는 raw event 대신 state snapshot을 기준으로 주요 상태를 표시해야 한다.","event -> state -> UI 원칙",MVP
PRJ-004,운영자,상태,1,,2순위,projection 재생성,"운영자는 필요 시 event 로그로부터 상태 projection을 재생성할 수 있어야 한다.","운영 복구성",Phase2
UI-001,사용자,UI,,1,1순위,run 상태 표시,"사용자는 run 상태를 명확한 라벨로 볼 수 있어야 한다.","RUNNING/FAILED 등 상태 표시",MVP
UI-002,사용자,UI,,1,1순위,현재 tool 표시,"사용자는 현재 사용 중인 tool을 볼 수 있어야 한다.","실시간 가시성",MVP
UI-003,사용자,UI,,1,1순위,최신 preview 표시,"사용자는 최신 진행 요약 또는 preview를 볼 수 있어야 한다.","latestPreview 필드",MVP
UI-004,사용자,UI,,1,1순위,최종 응답 표시,"사용자는 완료 후 최종 응답을 화면에서 확인할 수 있어야 한다.","제품 방향",MVP
UI-005,사용자,UI,,1,2순위,실시간 연결 상태 표시,"사용자는 SSE 연결 상태를 확인할 수 있어야 한다.","연결 복구 UX",Phase2
UI-006,사용자,UI,,1,2순위,실패 상태 강조 표시,"사용자는 실패 run과 실패 step을 시각적으로 구분할 수 있어야 한다.","실패 지점 파악 필요",MVP
UI-007,사용자,UI,,1,3순위,child task 트리 표시,"사용자는 추후 child task 관계를 트리 형태로 볼 수 있어야 한다.","subagent 확장 방침",Phase3
APR-001,사용자,승인,1,1,2순위,승인 요청 표시,"사용자는 승인 필요 상태와 승인 요청 내용을 볼 수 있어야 한다.","approval flow 계획",Phase2
APR-002,사용자,승인,1,1,2순위,승인 응답 제출,"사용자는 승인 또는 거절 응답을 제출할 수 있어야 한다.","approval 응답 API",Phase2
APR-003,사용자,승인,1,,2순위,승인 대기 상태 전이,"시스템은 승인 요청 시 run 상태를 WAITING_APPROVAL로 변경해야 한다.","Run 상태 모델",Phase2
APR-004,운영자,승인,1,,3순위,승인 이력 조회,"운영자는 run별 승인 요청 및 응답 이력을 조회할 수 있어야 한다.","운영 감사성",Phase3
HIS-001,사용자,이력,1,1,1순위,실행 이력 조회,"사용자는 세션 내 과거 run 이력을 볼 수 있어야 한다.","최종 응답과 실행 로그 저장",MVP
HIS-002,사용자,이력,1,1,1순위,과거 run 결과 재열람,"사용자는 이전 run의 결과와 주요 step 이력을 다시 볼 수 있어야 한다.","결과 재확인 요구",MVP
HIS-003,운영자,이력,1,,2순위,장애 분석용 이력 조회,"운영자는 실패 run의 event, step, tool 로그를 조회할 수 있어야 한다.","운영 점검 필요",Phase2
ERR-001,사용자,오류,1,1,1순위,실패 상태 노출,"사용자는 run 실패 여부를 즉시 알 수 있어야 한다.","실패 지점 파악",MVP
ERR-002,사용자,오류,1,,1순위,오류 event 발행,"시스템은 tool 실패, 모델 호출 실패 등 오류 상황에 맞는 event를 발행해야 한다.","오류 처리 기준",MVP
ERR-003,사용자,오류,,1,1순위,오류 메시지 표시,"프론트엔드는 실패 원인을 이해할 수 있는 범위에서 오류 메시지를 보여줘야 한다.","사용자 이해도 향상",MVP
ERR-004,운영자,오류,1,,2순위,원인 분류 저장,"운영자는 실패 원인을 모델 오류, 도구 오류, 승인 거절 등으로 구분해 볼 수 있어야 한다.","운영 분석성",Phase2
OPS-001,운영자,운영,1,,1순위,run 상태 재조회,"운영자는 현재 run 상태를 API로 재조회할 수 있어야 한다.","상태 질의 API",MVP
OPS-002,운영자,운영,1,,2순위,시스템 상태 점검,"운영자는 event projector, SSE 연결, 실행기 상태를 점검할 수 있어야 한다.","운영 안정성",Phase2
OPS-003,운영자,설정,1,,2순위,로그 보존 정책,"운영자는 run/event 로그 보존 기간을 정책으로 관리할 수 있어야 한다.","운영 정책 필요",Phase2
OPS-004,운영자,운영,1,,3순위,관리자용 inspection 화면 지원,"운영자는 관리자 전용 inspection 화면을 사용할 수 있어야 한다.","Phase2 범위의 운영 화면",Phase2
MEM-001,사용자,메모리,1,,3순위,장기 memory 저장,"시스템은 추후 사용자 선호와 장기 맥락을 저장할 수 있어야 한다.","Phase2 memory 계획",Phase2
MEM-002,사용자,메모리,1,,3순위,memory 주입,"시스템은 저장된 memory를 prompt 조립 시 문맥에 반영할 수 있어야 한다.","Hermes memory 구조",Phase2
SUB-001,사용자,하위작업,1,,3순위,child task 생성,"시스템은 추후 child task를 생성할 수 있어야 한다.","subagent 확장 방침",Phase3
SUB-002,사용자,하위작업,1,1,3순위,parent-child 관계 저장,"시스템은 parent task와 child task 관계를 저장하고 조회할 수 있어야 한다.","task tree 구조",Phase3
SUB-003,사용자,하위작업,,1,3순위,child task 진행 상태 표시,"사용자는 child task의 상태와 요약을 볼 수 있어야 한다.","추적 가능한 task node",Phase3
EXT-001,운영자,아키텍처,1,,2순위,계층 분리 유지,"시스템은 UI, Gateway, Runtime, Tool Layer, Store 계층의 책임을 분리해야 한다.","Hermes 3층 구조와 Spring 매핑",MVP
EXT-002,운영자,아키텍처,1,,2순위,공통 event 계약 유지,"시스템은 runtime event 이름과 payload 계약을 문서화하고 유지해야 한다.","추적 계약 초안",MVP
EXT-003,운영자,확장,1,,3순위,외부 runtime adapter 수용,"시스템은 추후 외부 agent 상태를 공통 event 모델로 변환하는 adapter를 수용할 수 있어야 한다.","Claw3D 분석 기반 adapter 확장",Phase3
EXT-004,운영자,아키텍처,1,,3순위,WebSocket 확장 가능성,"초기 SSE 구조를 유지하되 추후 WebSocket 기반 구독으로 확장 가능해야 한다.","실시간 전송 방식 후속 확장",Phase2
SEC-001,운영자,보안,1,,1순위,위험 도구 기본 비활성화,"terminal 등 위험 도구는 초기 버전 필수 범위에서 제외해야 한다.","과한 범위 판단",MVP
SEC-002,운영자,보안,1,,2순위,도구 권한 정책 관리,"운영자는 도구별 허용 여부를 정책으로 관리할 수 있어야 한다.","안전성 요구",Phase2
OUT-001,운영자,범위,1,,1순위,다중 메시징 플랫폼 제외,"초기 버전에서는 Slack, Telegram 등 다중 메시징 플랫폼 통합을 필수 범위에서 제외한다.","Hermes 전체 복제 지양",MVP
OUT-002,운영자,범위,1,,1순위,복잡한 self-improving skill system 제외,"초기 버전에서는 Hermes 수준의 self-improving skill system을 제외한다.","과한 범위 판단",MVP
OUT-003,운영자,범위,1,,1순위,복잡한 cron 자동화 제외,"초기 버전에서는 cron 기반 자동화 기능을 제외한다.","과한 범위 판단",MVP
OUT-004,운영자,범위,1,,1순위,다중 실행 환경 추상화 제외,"초기 버전에서는 Docker, SSH 등 다중 실행 환경 추상화를 제외한다.","과한 범위 판단",MVP
